Name,Location,Level
Machop,Driftveil City,73
Victreebel,Oldale Town,97
Nidoran,Coumarine City,39
Machop,Mossdeep City,6
Koffing,Santalune City,2
Vulpix,Floaroma Town,99
Machamp,Cianwood City,95
Starmie,Hearthome City,97
Ekans,Twinleaf Town,31
Cloyster,Dewford Town,76
Jynx,Driftveil City,63
Gloom,Seven Island,52
Gloom,Resort Area,88
Diglett,Fortree City,91
Kangaskhan,Undella Town,82
Machoke,Olivine City,45
Mewtwo,Mossdeep City,34
Eevee,Canalave City,17
Jigglypuff,Eterna City,28
Porygon,Two Island,22
Omanyte,Mistralton City,12
Dragonair,Striaton City,35
Kabutops,Olivine City,63
Wartortle,Snowpoint City,84
Dodrio,Dendemille Town,39
Eevee,Twinleaf Town,65
Rattata,Saffron City,7
Nidoran,Coumarine City,25
Golduck,Floccesy Town,6
Primeape,Blackthorn City,82
Oddish,Nimbasa City,35
Wigglytuff,Geosenge Town,25
Chansey,Eterna City,36
Tauros,Littleroot Town,72
Ponyta,Verdanturf Town,13
Rhydon,Rustboro City,66
Butterfree,Lentimas Town,32
Ivysaur,Ambrette Town,93
Pidgeotto,Lilycove City,84
Abra,Santalune City,58
Arbok,Five Island,62
Jolteon,Lavender Town,10
Vulpix,Driftveil City,38
Mr.,Icirrus City,67
Bellsprout,Resort Area,10
Shellder,Solaceon Town,5
Machamp,Ambrette Town,25
Electabuzz,Mistralton City,82
Hypno,Resort Area,11
Hitmonlee,Fuchsia City,62
Jynx,Cianwood City,5
Seel,Opelucid City,64
Hitmonchan,Dendemille Town,18
Flareon,Vermilion City,71
Nidorino,Ambrette Town,24
Magikarp,Couriway Town,95
Kabuto,Mistralton City,99
Victreebel,Eterna City,43
Magneton,Striaton City,68
Geodude,Cerulean City,14
Mankey,Pastoria City,53
Growlithe,Goldenrod City,97
Tentacool,Driftveil City,97
Cloyster,Ever Grande City,52
Charmeleon,Five Island,33
Gengar,White Forest,90
Gloom,One Island,55
Seadra,Saffron City,27
Nidorina,Petalburg City,44
Kabutops,Celestic Town,22
Slowbro,Seven Island,19
Primeape,Aquacorde Town,83
Venonat,Floccesy Town,66
Mewtwo,Pacifidlog Town,4
Flareon,Opelucid City,76
Electabuzz,Snowpoint City,35
Paras,Celestic Town,74
Eevee,Slateport City,44
Vileplume,Ambrette Town,28
Bellsprout,Celestic Town,29
Kadabra,Lentimas Town,37
Charizard,Eterna City,9
Butterfree,Floccesy Town,24
Snorlax,Coumarine City,82
Gastly,Cherrygrove City,48
Seaking,Canalave City,78
Chansey,Eterna City,31
Machamp,Four Island,16
Snorlax,Shalour City,83
Sandslash,Sunyshore City,88
Clefable,Castelia City,89
Arbok,Aquacorde Town,56
Weedle,Solaceon Town,24
Graveler,Vaniville Town,95
Krabby,Oldale Town,97
Abra,Lavaridge Town,84
Poliwrath,Cyllage City,39
Flareon,Ecruteak City,50
Jolteon,Lentimas Town,91
Ponyta,Sandgem Town,71
Bulbasaur,Anville Town,10
Gastly,Blackthorn City,22
Kabuto,Oldale Town,72
Rattata,Four Island,50
Eevee,Pastoria City,59
Rattata,Solaceon Town,77
Mewtwo,Shalour City,2
Electrode,Shalour City,89
Magneton,Six Island,24
Kabuto,Nacrene City,70
Mankey,Mossdeep City,68
Kangaskhan,Striaton City,54
Alakazam,Humilau City,80
Haunter,Lavender Town,92
Dodrio,Two Island,79
Dratini,Vaniville Town,70
Goldeen,Snowpoint City,98
Rapidash,White Forest,79
Growlithe,Two Island,90
Dewgong,Jubilife City,24
Tauros,Humilau City,25
Alakazam,Jubilife City,28
Charmeleon,Fight Area,54
Nidoran,Driftveil City,43
Pidgeotto,Opelucid City,71
Exeggcute,Fuchsia City,65
Seaking,Nuvema Town,72
Articuno,Coumarine City,43
Shellder,Slateport City,38
Mewtwo,Camphrier Town,32
Muk,Pewter City,75
Weezing,Lilycove City,23
Meowth,Dendemille Town,71
Golbat,Floccesy Town,56
Poliwrath,Laverre City,12
Muk,Castelia City,31
Marowak,Eterna City,42
Pidgey,Mossdeep City,45
Venusaur,Lilycove City,29
Lickitung,Pewter City,90
Horsea,Eterna City,46
Golem,Floaroma Town,14
Tentacruel,Rustboro City,50
Zubat,Coumarine City,62
Flareon,Veilstone City,86
Squirtle,Aspertia City,55
Lapras,Icirrus City,31
Tentacool,Fallarbor Town,48
Shellder,Nimbasa City,42
Alakazam,Jubilife City,99
Primeape,Santalune City,53
Shellder,Fallarbor Town,10
Gastly,Humilau City,47
Parasect,Opelucid City,55
Farfetch'd,Driftveil City,4
Alakazam,Lacunosa Town,70
Clefairy,Ambrette Town,76
Cubone,Sandgem Town,39
Pidgey,Geosenge Town,43
Raticate,Cerulean City,51
Kakuna,nil,85
Dodrio,Littleroot Town,36
Magmar,Violet City,74
Jynx,Mossdeep City,59
Parasect,Virbank City,80
Bellsprout,Canalave City,54
Farfetch'd,Kiloude City,64
Eevee,Anville Town,72
Muk,Lavaridge Town,36
Jigglypuff,Castelia City,4
Machoke,Opelucid City,41
Hitmonchan,Fuchsia City,30
Seadra,Laverre City,99
Dragonite,Nacrene City,85
Weepinbell,Vermilion City,50
Farfetch'd,Sootopolis City,31
Butterfree,Twinleaf Town,71
Vaporeon,Six Island,16
Oddish,Canalave City,77
Drowzee,Vaniville Town,47
Mewtwo,Shalour City,4
Jynx,Three Island,4
Voltorb,Celestic Town,74
Golbat,Black City,24
Poliwhirl,Cianwood City,87
Gyarados,Petalburg City,10
Nidoran,Olivine City,58
Clefairy,nil,76
Wartortle,Coumarine City,59
Ivysaur,Dewford Town,12
Alakazam,Lavender Town,11
Vulpix,Cinnabar Island,53
Metapod,Vermilion City,2
Moltres,Opelucid City,87
Nidoran,Safari Zone Gate,64
Cubone,Azalea Town,85
Pidgeot,Snowbelle City,41
Nidoran,Sootopolis City,28
Persian,Lacunosa Town,30
Rhyhorn,Anistar City,1
Machamp,Fallarbor Town,35
Weepinbell,Vaniville Town,19
Pinsir,Floaroma Town,50
Cloyster,Cherrygrove City,76
Zapdos,Ecruteak City,14
Magmar,Pewter City,10
Venusaur,Pewter City,59
Gengar,Laverre City,95
Onix,Coumarine City,68
Exeggcute,Canalave City,74
Kakuna,Goldenrod City,81
Tauros,Mauville City,49
Nidoqueen,Floccesy Town,9
Diglett,Ever Grande City,39
Hitmonchan,Slateport City,61
Pidgeot,Undella Town,21
Slowpoke,Fight Area,50
Bellsprout,Dewford Town,35
Lickitung,Shalour City,42
Ponyta,Celestic Town,26
Marowak,Solaceon Town,60
Nidorina,Ecruteak City,74
Ponyta,Canalave City,40
Mankey,Kiloude City,80
Butterfree,Lentimas Town,39
Poliwag,Jubilife City,71
Lapras,Resort Area,72
Hitmonlee,Sunyshore City,83
Krabby,Camphrier Town,65
Kakuna,Celestic Town,67
Beedrill,Six Island,39
Haunter,Pallet Town,61
Venomoth,Aquacorde Town,99
Pikachu,Ever Grande City,78
Abra,Violet City,61
Flareon,Eterna City,26
Nidoran,Cherrygrove City,54
Jynx,Mistralton City,94
Charmeleon,Lentimas Town,7
Pidgeotto,New Bark Town,49
Electabuzz,Resort Area,16
Jolteon,Coumarine City,65
Rhydon,Snowbelle City,65
Lickitung,Pewter City,37
Mr.,Black City,69
Parasect,Striaton City,58
Zapdos,Mossdeep City,79
Seadra,Black City,68
Dugtrio,Icirrus City,17
Slowpoke,Nuvema Town,91
Bellsprout,Anville Town,44
Kadabra,Cerulean City,67
Tangela,Striaton City,8
Omastar,Sandgem Town,43
Pidgeot,Vermilion City,71
Kakuna,Snowbelle City,82
Geodude,Pastoria City,20
Magikarp,Shalour City,14
Zubat,Coumarine City,1
Kakuna,Geosenge Town,85
Magmar,Olivine City,91
Persian,Lavender Town,63
Scyther,Geosenge Town,16
Eevee,Three Island,43
Cloyster,Geosenge Town,9
Raichu,Oreburgh City,71
Sandshrew,Cherrygrove City,21
Gastly,White Forest,35
Machoke,Undella Town,12
Vulpix,Twinleaf Town,46
Machop,Lavaridge Town,98
Seadra,Couriway Town,61
Machop,Rustboro City,95
Gengar,Rustboro City,11
Poliwhirl,Goldenrod City,44
Graveler,Icirrus City,1
Slowpoke,Verdanturf Town,17
Lapras,Five Island,93
Dugtrio,Rustboro City,99
Jolteon,Oldale Town,58
Pidgeot,Petalburg City,47
Electabuzz,Resort Area,53
Poliwag,Six Island,9
Gloom,Jubilife City,58
Pidgey,Canalave City,58
Rapidash,Ever Grande City,16
Tentacool,Four Island,52
Charmeleon,Hearthome City,13
